Received,Device Name,Type,DevAddr,MAC,U/L RSSI,U/L SNR,FCnt,Datarate,ACK,Port,Frequency,MAC Command,Data
2025-08-19 10:29:32,WISE-2410-VibTest,Unconfirmed_Down,FFB1FA66,0016C001F1DE40D9,,,4088,SF7BW125,true,0,922.6,,
2025-08-19 10:29:31,WISE-2410-VibTest,Confirmed_Up,FFB1FA66,0016C001F1DE40D9,-89,11.2,18267,SF7BW125,false,1,922.6,,815B3A500807000000897B00005423E207000036005E00430000002D00CA008F00000017006E004E000300000000BBE1A36860091B0002DA0DBCE1A368B4
2025-08-19 10:27:06,WISE-4610-S617,Unconfirmed_Down,FF5BDF2B,0016C001F1DE40D9,,,23129,SF10BW125,true,0,922.4,,
2025-08-19 10:27:05,WISE-4610-S617,Confirmed_Up,FF5BDF2B,0016C001F1DE40D9,-83,-16.8,38051,SF10BW125,false,1,922.4,,01A3687C
2025-08-19 10:27:04,WISE-4610-S617,Unconfirmed_Down,FF5BDF2B,0016C001F1DE40D9,,,23128,SF10BW125,true,0,923.4,,
2025-08-19 10:27:03,WISE-4610-S617,Confirmed_Up,FF5BDF2B,0016C001F1DE40D9,-90,-2.5,38050,SF10BW125,false,1,923.4,,01A200600716023AF96CA4
2025-08-19 10:26:55,WISE-4610-S617,Unconfirmed_Down,FF5BDF2B,0016C001F1DE40D9,,,23127,SF10BW125,true,0,923.4,,
2025-08-19 10:26:54,WISE-4610-S617,Confirmed_Up,FF5BDF2B,0016C001F1DE40D9,-90,-3.2,38048,SF10BW125,false,1,923.4,,81A01B8304001100008304
2025-08-19 10:26:27,WISE-2410-VibTest,Unconfirmed_Down,FFB1FA66,0016C001F1DE40D9,,,4087,SF7BW125,true,0,923.4,,
2025-08-19 10:26:26,WISE-2410-VibTest,Confirmed_Up,FFB1FA66,0016C001F1DE40D9,-94,-3,18264,SF7BW125,false,1,923.4,,81583A5008070000008F7A00005423E207000035005E00430000002E00CF0093000000190071005000030000000007E1A36860091B0002DA0D08E1A3686B
2025-08-19 10:25:32,WISE-2410-VibTest,Unconfirmed_Down,FFB1FA66,0016C001F1DE40D9,,,4086,SF7BW125,true,0,923.4,,
2025-08-19 10:25:31,WISE-2410-VibTest,Confirmed_Up,FFB1FA66,0016C001F1DE40D9,-93,1,18263,SF7BW125,false,1,923.4,,81573A500807000000507A00005423E20700002A0056003D0000002B00C7008D0000001700730052000300000000CBE0A36860091B0002DA0DCCE0A36845
2025-08-19 10:25:30,VIS_CDA6,Unconfirmed_Down,FFA9010C,0016C001F1DE40D9,,,387,SF8BW125,true,0,922.8,,
2025-08-19 10:25:29,VIS_CDA6,Confirmed_Up,FFA9010C,0016C001F1DE40D9,-90,-4,1358,SF8BW125,false,1,922.8,,814E40500807000000687600005429E21700002B005A004000000000004800E200A0003504000028006B004C0005040300000000F807905C60091B0002DD0DF907905C7E
2025-08-19 10:24:26,WISE-2410-VibTest,Unconfirmed_Down,FFB1FA66,0016C001F1DE40D9,,,4085,SF7BW125,true,0,923.4,,
2025-08-19 10:24:25,WISE-2410-VibTest,Confirmed_Up,FFB1FA66,0016C001F1DE40D9,-88,2.8,18262,SF7BW125,false,1,923.4,,81563A500807000000127A00005423E20700002F0054003C0000002800C5008C0000001A007100500003000000008FE0A36860091B0002DA0D8FE0A368CD
2025-08-19 10:23:27,WISE-2410-VibTest,Unconfirmed_Down,FFB1FA66,0016C001F1DE40D9,,,4084,SF7BW125,true,0,922.8,,
2025-08-19 10:23:26,WISE-2410-VibTest,Confirmed_Up,FFB1FA66,0016C001F1DE40D9,-86,0.8,18261,SF7BW125,false,1,922.8,,81553A500807000000957900005423E20700002C0059003F0000002D00CD00910000001B0072005100030000000053E0A36860091B0002DA0D54E0A368C0
2025-08-19 10:22:32,WISE-2410-VibTest,Unconfirmed_Down,FFB1FA66,0016C001F1DE40D9,,,4083,SF7BW125,true,0,923.4,,
2025-08-19 10:22:31,WISE-2410-VibTest,Confirmed_Up,FFB1FA66,0016C001F1DE40D9,-85,9.8,18260,SF7BW125,false,1,923.4,,81543A500807000000567900005423E20700002D0056003D0000002B00CD0091000000180073005200030000000017E0A36860091B0002DA0D18E0A3684B
2025-08-19 10:21:56,WISE-4610-S617,Unconfirmed_Down,FF5BDF2B,0016C001F1DE40D9,,,23126,SF10BW125,true,0,922.8,,
2025-08-19 10:21:55,WISE-4610-S617,Unconfirmed_Down,FF5BDF2B,0016C001F1DE40D9,,,23125,SF10BW125,true,0,922.6,,
2025-08-19 10:21:55,WISE-4610-S617,Confirmed_Up,FF5BDF2B,0016C001F1DE40D9,-95,3.2,38047,SF10BW125,false,1,922.8,,019F683D
2025-08-19 10:21:54,WISE-4610-S617,Confirmed_Up,FF5BDF2B,0016C001F1DE40D9,-93,1.5,38046,SF10BW125,false,1,922.6,,019E00600716023AC46BA4
2025-08-19 10:21:53,WISE-4610-S617,Unconfirmed_Down,FF5BDF2B,0016C001F1DE40D9,,,23124,SF10BW125,true,0,922,,
